"Time","Time Code","Country Name","Country Code","Ladder score","Access to electricity (% of population) [EG.ELC.ACCS.ZS]","Age dependency ratio (% of working-age population) [SP.POP.DPND]","Agricultural land (% of land area) [AG.LND.AGRI.ZS]","Compulsory education, duration (years) [SE.COM.DURS]","Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS]","Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS]","Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS]","Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Forest area (% of land area) [AG.LND.FRST.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS]","Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.ZS]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]","Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]","Population density (people per sq. km of land area) [EN.POP.DNST]","Population growth (annual %) [SP.POP.GROW]","Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Trade (% of GDP) [NE.TRD.GNFS.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Vulnerable employment, total (% of total employment) (modeled ILO estimate) [SL.EMP.VULN.ZS]","Control of Corruption: Estimate [CC.EST]","Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]","Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS]","Voice and Accountability: Estimate [VA.EST]"
"2023","YR2023","Afghanistan","AFG",1.85899996757507,85.3,83.8361728436287,58.4395075356853,9,51.2913264558988,19.2101817019298,29.4984918421715,16.8527881206002,4.84,2.27715131661601,1.85278199408184,2.26694373649188,1983.81261992909,21.2145146604881,15.2924823859473,-19.2855186503912,99.7844886779785,96.0685445766014,50.7318770310383,17.7089,-4.64470870797775,37.588,6.84841307897743,66.035,1.5448976529505,55.5475,50.4,55.5,1.8656461200228,63.5585008355948,2.13559384981397,27.3311897106109,74.5269470368833,67.5846651516385,14.008,81.4636847215318,-1.15493178367615,77.1395874,28.1,-1.85290133953094
"2023","YR2023","Albania","ALB",5.27729988098145,100,50.0239258237319,38.1240875912409,9,32.0385825807416,21.6488726713231,46.3125447479353,38.4188212901288,1.348,6.90036950940795,28.7919708029197,4.01541716935742,20481.0358398226,12.1218077852414,23.4392861436214,17.9244353290363,93.7138120137738,96.1368771236947,43.9336721089435,83.1356,4.75834555150039,63.882,46.3691107088254,79.602,1.7407334644623,92.9973,8.3,9.4,8.6677801890604,88.1056569343066,-1.54310811387613,35.7142857142857,41.7893913862143,82.3524933990723,10.669,46.7326588368579,-0.332218527793884,48.27462769,5.4,0.168997228145599
"2023","YR2023","Algeria","DZA",5.32910013198853,100,58.7709984775404,17.359031632336,10,9.8478645435881,31.9607938815742,58.1913415748377,23.7900604738163,2.766,0.489819143410424,0.830314224054683,4.10000000005964,15159.3242373415,17.9064173126831,37.6168765143841,41.457199011316,105.840748480875,101.264892578125,19.9497379768844,76.9081,9.32217375928322,41.507,16.9260507160775,76.261,7.39039327356489,111.606,19.7,22,0.753275484255268,19.3825602290762,1.49897601193923,7.86240786240786,25.267191635862,43.7397984507007,11.645,25.9252191073665,-0.589308321475983,45.00216675,2.5,-0.979883790016174
"2023","YR2023","Argentina","ARG",6.02370023727417,100,52.4243366823125,42.4367915620695,14,7.36522999791843,21.4115045495218,71.2232606251736,12.8223120961047,1.5,3.81190879856952,10.3212951412107,-1.85578803046339,27230.3968496682,16.3015627890885,19.3822632919135,18.0632398809628,102.535244031037,105.574584297051,13.8546391521167,89.229,133.488935594175,62.286,43.2487962439667,77.395,0.75569413987974,137.706,8.2,9.6,0.15535734613336,16.6399559321662,0.286976121920089,43.1906614785992,7.8054867742093,26.6769512482215,6.139,22.4431470253428,-0.360883951187134,24.46961784,3.4,0.533921837806702
"2023","YR2023","Armenia","ARM",5.34170007705688,100,48.7129653645231,58.5933621376878,12,28.0666154479176,20.4688283550424,51.464636561186,61.008329479156,1.9,2.39959276465582,11.6183158247114,8.29999999959539,19402.7510915578,12.0992285468561,22.9413054452812,21.5392143259663,98.0899878191202,89.4111027634947,62.4104205984709,79.9966,1.98041877615554,59.987,47.1937404282416,77.4658536585366,5.50629814850566,134.52,8.9,10,6.39621098617553,105.119108748259,-0.165163937436499,35.5140186915888,34.3043117991148,123.418750077627,12.405,33.974477975018,0.0583996474742889,80.47196198,2.5,0.0767075568437576
"2023","YR2023","Australia","AUS",7.09460020065308,100,54.8330501591457,47.2234443228177,11,2.14974802026124,19.6802287144108,78.170023265328,26.701068252275,1.5,2.03614704389564,17.4213145571644,3.58382100798981,60684.9596204883,21.2449452137028,23.873104248989,28.2309014351111,99.3657531738281,134.099243164062,22.3432710661529,97.0631,5.5970149253731,67.023,47.407414892407,83.0512195121951,1.86157133456052,112.513,3.1,3.7,0.0928559687058244,3.46591948538875,2.43450716351535,38.4105960264901,12.5133044346235,49.044339318428,3.668,9.25879255732326,1.78120493888855,15.84897614,2.5,1.50660192966461
"2023","YR2023","Austria","AUT",7.09730005264282,100,52.5940837665189,31.4743456131847,13,3.11719371426899,25.7210270134619,71.1617792722691,58.4867595713944,1.32,0.566112370322707,47.2402653902084,-0.786244288594673,64536.2981841434,20.2679436557872,26.0041363951547,27.7347896007605,100.902870178223,100.504371643066,56.6661552513376,95.3347,7.81413417002832,60.853,46.9103936029029,81.5414634146342,0.870829952423219,121.746,2.6,3.1,0.631386866730441,110.661185167232,0.989464653969154,40.9836065573771,30.7734641723979,115.152914822732,5.264,7.89303332366762,1.1336532831192,16.47774124,2.5,1.41124832630157
"2023","YR2023","Bahrain","BHR",6.17320013046265,100,29.2488272145239,10.125,9,0.88100328928879,35.1413180087999,63.9777911177961,87.351143952571,1.824,15.6428756083644,0.95,3.87811614845566,57819.9051831242,14.6137011761089,29.168098874443,46.5187908539067,93.8998953080421,104.392938701638,70.0967107297264,100,0.0746206782192256,70.7,21.1745923491847,81.284,3.52083573819693,153.9,7.2,8.6,1.8786395323162,1971.32375,3.37686417721007,20,0,157.447854682297,1.049,0.943956184784735,0.177784815430641,28.65578461,3.9,-1.37783300876617
"2023","YR2023","Bangladesh","BGD",4.28210020065308,99.5,53.0958193080833,72.311124788429,5,45.3663393707013,17.625867147727,37.0078031657165,13.1571638341204,2.163,0.339361232770537,14.4899215263887,5.77511237007889,8242.39798977242,5.66516962733289,30.9512000834944,25.7595140795099,103.116421399751,65.9856598598849,17.8258075763392,44.5027,9.8835030377921,60.885,35.6172233897572,74.672,0.919471499049507,114.355,24.4,30.6,5.04555725354251,1319.17979689183,1.22171475464107,20.8571428571429,67.8421534963166,30.9829714104596,3.352,58.1775397771731,-1.12086641788483,79.30711365,10.4,-0.753886342048645
"2023","YR2023","Belgium","BEL",6.85909986495972,100,57.321807211007,44.3792221420607,13,1.08549455456598,20.1484135056687,78.7661117864497,82.7431955739295,1.47,-0.652181403274143,22.604446776415,1.71412195515242,63095.4017281289,23.5329643613137,25.3195552348258,24.9589998809714,102.108009338379,142.960266113281,83.1037509277838,94.6263,4.04901077613941,54.407,46.7729961269504,82.3975609756098,1.18422875211757,103.196,3,3.6,2.24799476941634,386.303731881682,0.850263748167955,42.6666666666667,12.448507363228,165.846946501713,5.547,11.2062097881447,1.3368444442749,21.50983047,2.5,1.32572901248932
